ITEM,CONDITION,CONTEXT,SENTENCE,QUESTION,CORRECT,WRONG,TYPE
101,1,"Lucas e Pedro eram muito amigos. Um dia, eles estavam conversando e Pedro foi muito mal educado. Depois disso,","Lucas*amarrou um bode*do colega*de trabalho.",1,"Lucas ficou zangado com o colega.","Lucas trabalhou com o colega.",item
104,1,"Dom tinha interesse em Paula. Um dia, eles se encontraram. Mas,","Paula*não deu a mínima*para o Dom*no evento.",1,"Paula não deu atenção a Dom.","Paula não entregou algo a Dom.",item
107,1,"Juca estava terminando a faculdade. Ele faria a prova da OAB no dia seguinte. Então,","Juca*não pregou o olho*na véspera*do exame.",1,"Juca estava sem dormir.","Juca estava muito atento.",item
110,1,"Mara estava cuidando dos primos. Eles estavam discutindo muito naquela manhã. Então,","Mara*botou panos quentes*na discussão*dos primos.",1,"Mara amenizou uma briga.","Mara incitou uma briga.","item"
113,1,"Ana estava disputando um torneio. No dia, ela não foi com o uniforme adequado. Então,","Marcio*deu uma colher de chá*para Ana*no torneio.",1,"Márcio falicitou as coisas para Ana.", "Márcio levou Ana para tomar chá.","item"
116,1,"Os amigos de Paulo estavam discutindo. Paulo chegou e ouviu a conversa. Então,","Paulo*meteu o bedelho*na conversa*dos colegas.",1,"Paulo foi intrometido.","Paulo foi intrometido.","item"
119,1,"Carla e seu colega estavam atrás de uma promoção. Carla sabia que havia uma vaga de gerente disponível no setor. Então,","Carla*escondeu o ouro*do colega*por ambição.",1,"Carla omitiu uma informação do colega.","Carla mentiu para o colega.","item"
122,1,"Carlos é uma pessoa muito colaborativa. Um dia, a igreja de sua comunidade entrou em reforma. Então,","Carlos*moveu céus e terra*pela obra*da igreja.",1,"Carlos fez muitas coisas pela obra.","Carlos fez trabalho braçal na obra","item"
102,2,"Pedro é responsável por um projeto. Ele deveria entregar alguns relatórios até o fim do dia. Porém,","Pedro*gastou muito tempo*na reunião*da manhã.",1,"Pedro não fez algo útil.","Pedro ocupou seu tempo.","item"
105,2,"Bruno conheceu uma mulher no Tinder. Um dia, eles marcaram um encontro. Mas,","Bruno*foi bastante frio*com a mulher*no encontro.",1,"Bruno foi desatencioso.","Bruno estava sentindo frio.","item"
108,2,"Bruna costuma ter uma rotina rígida. Ela teve um burnout. Então,","Bruna*saiu da rotina*nas férias*de janeiro.",1,"Bruna fez algo fora do habitual.","Bruna transformou seus hábitos.","item"
111,2,"Mauro é muito responsável. Ele comecou a trabalhar bem jovem. Por isso,","Mauro*foi o alicerce*da família*desde cedo.*",1,"Mauro foi um suporte para família.","Mauro tabalhou com a família.","item"
114,2,"Paulo participou de uma reunião de projeto no trabalho.","Paulo*deu uma ideia*excelente*no trabalho.",1,"Paulo comunicou uma ideia.","Paulo desistiu de uma ideia.","item"
117,2,"Artur teve um problema familiar sério. Ele passou a se sentir mal. Então,","Artur*entrou em depressão*com o evento*familiar.",1,"Artur ficou em estado depressivo.","Artur rompeu com a família.","item"
120,2,"Dayse é muito qualificada e competente. Ela é reconhecida pelo seu trabalho. Por isso,","Dayse*tem alto renome*em seu setor*de trabalho.",1,"Dayse tem prestígio no setor.","Dayse é conhecida no setor.","item"
123,2,"Lara trabalhou muito em sua pesquisa. Ela se preparou bem para a banca. Portanto,","Lara*estava brilhante*na defesa*de mestrado.",1,"Lara estava se apresentando bem.","Lara estava maquiada na defesa.",item"
103,3,"Sara deseja algo novo. Ultimamente, sonha em ser uma influencer de sucesso. Então,","Sara*segue arco-íris*na vida*desde cedo.*",1,"Sara é sonhadora.","Sara é batalhadora.","item"
106,3,"Davi queria ser promovido. Um dia o chefe o convocou para uma reunião. Então,","Davi*alisou o chefe*na reunião*de equipe.",1,"Davi bajulou o chefe.","Davi acariciou o chefe.","item"
